Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
2019,Male,22,2018,BCSE,No,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Poor,22,4,2,1,90,"Programming, Software Development",4,Machine Learning / Deep Learning,1.98,2.98,104,FALSE,25000
2021,Female,19,2020,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,Yes,Yes,Good,2,3.5,2,2,98,Programming,2,Data Science,3.37,3.39,11,FALSE,25000
2022,Male,19,2020,BCSE,Yes,No,Offline,Yes,No,Basic,No,No,No,Single,No,Family,No,No,Good,2022,5,3,3,95,"Programming, Microsoft Excel",2,Networking,4.5,3.39,85,FALSE,30000
2022,Male,20,2021,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Poor,1,2.666666667,1,1,100,"Software Development skill,",2,Data Science,0,0,0,FALSE,150000
2017,Female,23,2016,BCSE,No,No,Online,Yes,Yes,Basic,No,No,Yes,Married,No,Family,No,No,Average,14,3.5,2,3,90,Software Development skill,2,Software,2.79,2.84,133,FALSE,30000
2021,Male,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Good,3,5.5,3.5,3,95,Programming,1,Artificial Intelligence,3.52,3.65,23,FALSE,25000
2021,Male,21,2020,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Average,3,1.5,2,2,90,Web development skill(Frontend),1,Artificial Intelligence,3.85,3.79,35,FALSE,35000
2019,Female,23,2018,BCSE,Yes,No,Online,Yes,Yes,Advance,Yes,No,No,Married,Yes,Bachelor,Yes,No,Poor,11,4,2,5,70,Cyber security,2,UI/UX,3.01,2.89,120,FALSE,90000
2021,Female,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Advance,No,No,Yes,In a relationship,No,Family,No,No,Average,3,3.5,2,2,90,Programming,2,Networking,3.18,3.18,24,FALSE,80000
2021,Male,19,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,3,5,10,5,100,"Programming, Web development",2,Data Science,3.72,3.89,26,FALSE,60000
